Model,MAE,RMSE,R2,BestParams,BestSearch
LinearRegression,0.05342107567356497,0.13905599049014628,-0.00847835764977889,{},None
DecisionTree,0.051300897586266374,0.14228993202670268,-0.055930952571680015,{'max_depth': 3},GridSearchCV
KNN,0.05364400022221855,0.13000507784543577,0.11852944790468978,{'n_neighbors': 10},GridSearchCV
Ridge,0.05089369902518577,0.138580487273936,-0.0015931481132607228,{'alpha': 10.0},GridSearchCV
Lasso,0.047459080026634425,0.1386714154856349,-0.0029079501311615186,{'alpha': 0.01},GridSearchCV
RandomForest,0.051643300129780585,0.13326045161567918,0.07383207117209045,"{'max_depth': 3, 'n_estimators': 100}",GridSearchCV
SVR,0.05320167347290423,0.13713497779358907,0.019192771709111822,"{'C': 0.1, 'kernel': 'rbf'}",GridSearchCV
