Model,MAE,RMSE,R2,BestParams,BestSearch
LinearRegression,0.04042631359426497,0.0648782561275315,0.012937067415910164,{},None
DecisionTree,0.0393016028488118,0.05934424661422202,0.1741451021127166,{'max_depth': 3},GridSearchCV
KNN,0.04078985777573414,0.06263356292641695,0.08005737526686318,{'n_neighbors': 10},GridSearchCV
Ridge,0.03967617659809095,0.06466050433743246,0.019551734305178425,{'alpha': 10.0},GridSearchCV
Lasso,0.03875912818930472,0.06530326901854511,-3.765171502156939e-05,{'alpha': 0.01},GridSearchCV
RandomForest,0.04126183822772908,0.06611030410012043,-0.024907844106878185,"{'max_depth': 3, 'n_estimators': 50}",GridSearchCV
SVR,0.04098107554352141,0.06352106116898389,0.05380206330658843,"{'C': 0.1, 'kernel': 'rbf'}",GridSearchCV
