Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-01-25 16:12:00-05:00,1.13,1.19,5.55
2023-04-19 16:07:00-04:00,0.85,0.85,-0.04
2023-07-19 16:05:00-04:00,0.82,0.91,10.63
2023-10-18 16:08:00-04:00,0.72,0.66,-8.25
2024-01-24 16:00:00-05:00,0.74,0.71,-4.39
2024-04-23 16:04:00-04:00,0.51,0.45,-12.04
2024-07-23 16:07:00-04:00,0.62,0.52,-16.62
2024-10-23 16:07:00-04:00,0.58,0.72,23.24
2025-01-29 16:12:00-05:00,0.76,0.73,-4.25
2025-04-22 16:07:00-04:00,0.39,0.27,-30.98
