Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-02-22 16:50:00-05:00,0.81,0.88,8.75
2023-05-24 16:20:00-04:00,0.92,1.09,18.57
2023-08-23 16:20:00-04:00,2.09,2.7,29.41
2023-11-21 16:20:00-05:00,3.37,4.02,19.21
2024-02-21 16:22:00-05:00,4.64,5.16,11.32
2024-05-22 16:22:00-04:00,0.56,0.61,9.48
2024-08-28 16:20:00-04:00,0.64,0.68,6.03
2024-11-20 16:20:00-05:00,0.75,0.81,8.58
2025-02-26 16:20:00-05:00,0.84,0.89,5.5
2025-05-28 16:20:00-04:00,0.93,0.96,2.84
