Date,Close,High,Low,Open,Volume,rolling_mean_5,rolling_std_5,volatility,price_change_pct
1970-01-01 00:00:00.000000015,0.0,0.0006852900038752385,0.0,0.0,0.5974671491429657,0.0,0.03722566520233256,0.03016355574333256,0.39720318389525633
1970-01-01 00:00:00.000000015,0.002100119230322453,0.0,0.002494745282056718,0.0016189187008871092,0.41761647326193996,0.0024059881178405407,0.048729261922711056,0.005415391204204482,0.3061468135280943
1970-01-01 00:00:00.000000015,0.00278769534405314,0.00048116165826135593,0.003180608139832189,0.00403641312552086,0.3714808000083839,0.004295759279736591,0.05562016551468142,0.003959639686227832,0.2732597732128761
1970-01-01 00:00:00.000000016,0.006599299488890931,0.004920967080563762,0.0026454812911785863,0.005923946933651725,0.6680989246088364,0.007685875307448381,0.04256036802738214,0.043556647415472036,0.34360315081891496
1970-01-01 00:00:00.000000016,0.009499110480298459,0.006998723878020294,0.007717883488748745,0.007216176824538234,0.5122143655970643,0.010765055454838315,0.033483556639101394,0.02096306620565112,0.3210268192194651
1970-01-01 00:00:00.000000017,0.01550051211833299,0.012874727949963624,0.01325002656083342,0.01172447686380515,0.607753955053051,0.013895554431655938,0.05432347754681763,0.02515572387346988,0.3857833894938409
1970-01-01 00:00:00.000000017,0.013071558335795527,0.013931815208949469,0.016136688341739522,0.01729995388720912,0.5007418297669113,0.01611135727943913,0.04907581993789238,0.01129670730486958,0.20816830036169265
1970-01-01 00:00:00.000000016,0.008497624808984652,0.009003561803242535,0.01198381820801718,0.012719054796069496,0.520665685545024,0.017264540362114694,0.03090549869349683,0.004017838648264896,0.16271208091420508
1970-01-01 00:00:00.000000017,0.01652442091911767,0.013807892060713048,0.01269229398290185,0.012537564089814338,0.688397063821314,0.019269027842587494,0.030349666838998018,0.03691835607480008,0.4303901448059775
1970-01-01 00:00:00.000000019,0.026643852379743357,0.02393415976483189,0.02017652264124077,0.02018206562760433,0.8234325384052231,0.02273159711541395,0.06935717874352107,0.059977806647721094,0.46231001107295044
1970-01-01 00:00:00.000000019,0.02718195046700768,0.02575674222507042,0.027728575675244824,0.025721250048498595,0.5854496566323772,0.02509079212259263,0.08940390828849043,0.016188196784018855,0.26778242321607465
1970-01-01 00:00:00.000000019,0.027615431041756525,0.024845450994951154,0.025919700438794782,0.026345590817121373,0.5155829165063486,0.028028087244031052,0.09212803929356489,0.022884742620088803,0.265785581367973
1970-01-01 00:00:00.000000019,0.03119534852207416,0.03064855009986088,0.031180517256893872,0.03206626594427078,0.575465271737259,0.032612142294436514,0.05463091081913274,0.028591350767921065,0.3245037919951146
1970-01-01 00:00:00.000000020,0.035403056607539604,0.03401668170769044,0.03213772074431746,0.030331185991016696,0.654224986263798,0.036424890496247087,0.03218147849644251,0.048098665455595116,0.3343241332953628
1970-01-01 00:00:00.000000019,0.026412165715223215,0.030458994404533382,0.030215780922321397,0.03387394494939763,0.5740819201638463,0.03637809882506324,0.03277394531289156,0.03453086583062323,0.09840094990927833
1970-01-01 00:00:00.000000019,0.029214814563926647,0.02715648143859424,0.028708392079777614,0.028211343525005067,0.5881639600983916,0.036788658097352545,0.030047179968091985,0.019798420564581223,0.31043216126402573
1970-01-01 00:00:00.000000020,0.03972288034035944,0.0381284217309419,0.03369033542107967,0.031993666892398076,0.8313883070860837,0.0392338907033333,0.051452993224414365,0.06894533373717192,0.4517003456704187
1970-01-01 00:00:00.000000021,0.04544774905493208,0.04364720119806097,0.04189811992426355,0.04149666538694047,0.6873625444087295,0.042112319812300375,0.0823059074975836,0.049612615935609033,0.3562815454477262
1970-01-01 00:00:00.000000021,0.04089625291260131,0.0421599843672172,0.042568902712078735,0.04149666538694047,0.48538423188805035,0.04322173124859188,0.08740025650390615,0.03255110152086993,0.18203331546242169
1970-01-01 00:00:00.000000021,0.04081404427454756,0.040884168301929855,0.04254628979496948,0.04008827424368691,0.5195652922479912,0.0461303490897336,0.060971518180710074,0.022535326714423338,0.25626278613943154
1970-01-01 00:00:00.000000022,0.04891556514290456,0.04590721346050118,0.045289755601733886,0.04426988547295327,0.8368872793037729,0.05010913243954859,0.03466467968766436,0.041460429648283684,0.39625423265822635
1970-01-01 00:00:00.000000022,0.04915472143224524,0.05041992384983719,0.05175648924413291,0.05156591710049549,0.6804383008729786,0.05201399652805397,0.03713602780410205,0.02754321411764653,0.26155936849428113
1970-01-01 00:00:00.000000022,0.05014125359890874,0.05145515213339359,0.052600642521672916,0.05315581279685749,0.6268783414153603,0.052961901414062845,0.04470795985017409,0.02929007151253014,0.27369594514092405
1970-01-01 00:00:00.000000021,0.042129410993426056,0.04458765163395355,0.042734725978992125,0.04650588919133186,0.6670928507372635,0.05321095125711356,0.04082840999109261,0.05066075258588337,0.1282737495277264
1970-01-01 00:00:00.000000021,0.046038177280967915,0.04436895063805334,0.04387280405196452,0.045402405757831776,0.5535831650305489,0.05426602239969955,0.026675692732921908,0.040121076054381366,0.3239789090728343
1970-01-01 00:00:00.000000022,0.05487960440182711,0.051666566804150646,0.04691774187697263,0.04569278811846936,0.8538408217467658,0.05547052575128075,0.045339398959275204,0.07488495986659573,0.4040590356806504
1970-01-01 00:00:00.000000022,0.05333253676341927,0.050252241035139825,0.05249512515893821,0.05274199958586834,0.4722229292020427,0.056314281526556376,0.051472182350225035,0.0204971413091903,0.23337215261949046
1970-01-01 00:00:00.000000021,0.047637560803138065,0.048028688208816714,0.051145997984834005,0.04972194549285894,0.4594239328805003,0.05580863321793336,0.05171606172751064,0.013160073690548547,0.16741736718752603
