Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,rolling_mean_5,volatility_5,pct_change
2023-01-03,0.068771777376117,0.0804522833270083,0.0719290810430112,0.0803639328966279,0.2604758973380991,,,
2023-01-04,0.0270388199456679,0.0286150904072231,0.0263408094621232,0.0371402922101919,0.6094046445493643,,,-0.6068326139400039
2023-01-05,0.0,0.0072041511020535,0.0096038218030581,0.0168092070400828,0.454626530386167,,,-1.0
2023-01-06,0.0104331773601712,0.0,0.0,0.0,0.511109366082534,,,inf
2023-01-09,0.0191540473975395,0.0220549257145742,0.0281339746627933,0.0138074754482103,0.2833298510664851,0.02507956441589912,0.026417139855613905,0.8358786337382071
2023-01-10,0.0260432650381924,0.0223366707448693,0.031800210705576,0.0190503803324714,0.2786196761632057,0.0165338619483142,0.011382389960045742,0.35967425044264445
2023-01-11,0.0535998256135981,0.0410109999117296,0.0468635495710076,0.0331781680099161,0.3015521561775648,0.021846063081900242,0.020252588231518813,1.058106982169634
2023-01-12,0.064510755254066,0.056908120551694,0.0566266410457328,0.0490667234363871,0.2819233891945025,0.03474821413271344,0.023191417041543157,0.20356278244494552
2023-01-13,0.0673779509076984,0.0547751176904726,0.0620462719707977,0.0560305891385503,0.1986827215528012,0.04613716884221888,0.022227823552127227,0.04444523463320782
2023-01-17,0.0718379228178978,0.060972991507756,0.0706936168431262,0.059912635070363,0.3178463605169834,0.056673943926290535,0.018395830544015272,0.06619334441187097
2023-01-18,0.0537589730446286,0.0668892441074141,0.064437263633685,0.0743205770333481,0.3206144120975353,0.06221708552757778,0.008219683656504833,-0.2516630362364123
2023-01-19,0.0383082187899612,0.0392803410575536,0.0451498744851683,0.0431435331895652,0.30090291206318,0.05915876416285041,0.013424444961099307,-0.2874079131281171
2023-01-20,0.0713203681804829,0.0602889593250933,0.0604124750731108,0.0474659794753463,0.3957907106208204,0.06052068674813378,0.014412230292828183,0.8617510924097742
2023-01-23,0.0807182502735016,0.0781180127874934,0.0808953286872383,0.0724396407089182,0.3473315786447765,0.06318874662129442,0.017001296356656356,0.13176996043032863
2023-01-24,0.0785678070351969,0.0732079192572695,0.0840434587474313,0.0780426284153164,0.4637243615181936,0.06453472346475424,0.0180888452730291,-0.026641351008207526
2023-01-25,0.0728733420799323,0.0705919209768379,0.0460265942709851,0.0459450678863112,0.8324080786721205,0.06835759727181498,0.017242166596858916,-0.07247834921386553
2023-01-26,0.1023014814040536,0.090755303341001,0.0902600588199901,0.0826451413017289,0.3686528675415803,0.08115624979463346,0.012443510624550992,0.40382585022438744
2023-01-27,0.102938505110263,0.0968726103459564,0.1095074383858032,0.1040167216430396,0.271117611342561,0.08747987718058949,0.014116874561839776,0.006226925528999949
2023-01-30,0.0812359909032395,0.07984867515367,0.0910571096794461,0.0860870889259447,0.2622623703439872,0.08758342530653707,0.01405664874641858,-0.21082989483650227
2023-01-31,0.1015448026367263,0.0893063756101498,0.0940457290618367,0.0818446569562479,0.2717093629975726,0.09217882442684294,0.014128054666935072,0.2499977104689557
2023-02-01,0.1212167146588856,0.1184044585387841,0.1040879952672304,0.1000546851732565,0.3378789769707644,0.1018474989426336,0.01415528877052147,0.19372642923473915
2023-02-02,0.1684052609044508,0.1566786899990121,0.1510312094159708,0.1433583854777441,0.4596017315046057,0.11506825484271306,0.03300483466535857,0.3892907539884898
2023-02-03,0.1435166982047648,0.1547065459248783,0.1504333714346787,0.1462398487800281,0.3072733570127479,0.1231838934616134,0.03424230422788337,-0.14778969829100053
2023-02-06,0.1372249499029678,0.130961293235419,0.1411882817241526,0.1378353553474155,0.2152952378014322,0.13438168526155905,0.025003567876942565,-0.04383983453145035
2023-02-07,0.1801923383810408,0.1730990406912042,0.1623086248094344,0.1502020320931635,0.6124615606818886,0.15011119241042198,0.023895510714846052,0.31311644499382485
2023-02-08,0.1768873787965528,0.2052560443779704,0.1867368114979252,0.2009099521484699,0.6663726605126364,0.1612453252379554,0.0196609414387911,-0.01834128806020152
2023-02-09,0.1645026459887841,0.1940674099698441,0.1731477996309508,0.2033109820715349,0.4937424365865185,0.16046480225482204,0.019381110985491272,-0.07001479072180161
2023-02-10,0.162431931459597,0.1542637881573813,0.1646199430784881,0.1542041725079755,0.2615766675968292,0.1642478489057885,0.01693800466943709,-0.01258772779453221
2023-02-13,0.1951652163605295,0.1965626105348669,0.1904824901892213,0.1786575831643203,0.5253745072826119,0.17583590219730086,0.013245901754011214,0.20152001276346643
2023-02-14,0.1985500286490171,0.1980516598401599,0.1989704997537721,0.1987885287231053,0.4190415025443919,0.1795074402508961,0.016817904885524804,0.017343317378004652
2023-02-15,0.189887126218978,0.183716415128503,0.189273831218557,0.1840687422009984,0.3051012638525276,0.18210738973538115,0.01730926176297191,-0.043630829413541905
2023-02-16,0.1612632796968671,0.1676176040469815,0.1721751025783614,0.1668159116108399,0.3146534256391128,0.18145951647699773,0.01817204854464693,-0.1507413751109269
2023-02-17,0.1449356956342269,0.1407870514682675,0.1486049870935871,0.1482396817315078,0.3202133671370297,0.1779602693119237,0.02361996103396995,-0.10124799702283005
2023-02-21,0.1234183677834515,0.1222276832948693,0.1309873708723551,0.1285398860576053,0.2977394245425493,0.16361089959650812,0.031148422914462452,-0.14846120382295958
2023-02-22,0.1187873449335505,0.1175875915821759,0.1259935136901443,0.126974982434176,0.21491803117774,0.1476583628534148,0.029141414564196274,-0.03752296301654656
