Date,Close,High,Low,Open,Volume
1970-01-01 00:00:00.000000234,0.07041795829749631,0.08240242605865644,0.07364036094686077,0.08229508947153563,0.26047589733809917
1970-01-01 00:00:00.000000224,0.027686069500191146,0.029308711284338984,0.026967488088544544,0.03803278188236425,0.6094046445493643
1970-01-01 00:00:00.000000217,0.0,0.007378739681573654,0.009832273458234342,0.017213102246894207,0.45462653038616707
1970-01-01 00:00:00.000000220,0.010682956645005182,0.0,0.0,0.0,0.511109366082534
1970-01-01 00:00:00.000000222,0.01961263020833337,0.022589598599957794,0.02880338615527056,0.014139331755090856,0.2833298510664851
1970-01-01 00:00:00.000000224,0.026666701508346047,0.022878118580516582,0.032556795742504585,0.019508174208344053,0.2786196761632057
1970-01-01 00:00:00.000000231,0.054882800056543,0.042005037117305966,0.04797843910752386,0.03397538232021646,0.3015521561775648
1970-01-01 00:00:00.000000233,0.06605503342810293,0.05828764051982904,0.05797393947332119,0.0502458791263769,0.28192338919450255
1970-01-01 00:00:00.000000234,0.06899081822199915,0.05610288948326103,0.06352247152680301,0.05737704918032782,0.19868272155280123
1970-01-01 00:00:00.000000235,0.07355762913321862,0.062451083849491495,0.07237563255095669,0.06135246401927508,0.31784636051698345
1970-01-01 00:00:00.000000231,0.05504587155963303,0.068510695335669,0.06597037711765441,0.07610658739433906,0.3206144120975353
1970-01-01 00:00:00.000000227,0.03922526041666674,0.040232529366672876,0.04622409224175428,0.044180322865970734,0.30090291206318
1970-01-01 00:00:00.000000235,0.07302753786792826,0.061750320582997786,0.06184973811481542,0.04860655987849005,0.3957907106208204
1970-01-01 00:00:00.000000237,0.08265037419963694,0.08001155337912103,0.08281991353331619,0.07418035288326064,0.3473315786447765
1970-01-01 00:00:00.000000237,0.08044850449557217,0.07498248720828693,0.0860429913030315,0.07991803278688525,0.46372436151819363
1970-01-01 00:00:00.000000235,0.07461774944651522,0.07230309454819239,0.04712165347487829,0.04704916281778293,0.8324080786721205
1970-01-01 00:00:00.000000243,0.10475026479676353,0.09295520002385116,0.09240747113585523,0.08463112252657545,0.36865286754158033
1970-01-01 00:00:00.000000243,0.10540267524369251,0.09922093315299607,0.11211291815845204,0.10651641595559058,0.27111761134256107
1970-01-01 00:00:00.000000237,0.08318046546492741,0.08178412402924828,0.09322341891519736,0.08815571519195065,0.26226237034398725
1970-01-01 00:00:00.000000242,0.10397553516819569,0.09147121225377752,0.09628326977734913,0.08381146290263186,0.27170936299757265
1970-01-01 00:00:00.000000247,0.12411825664181975,0.12127456516164314,0.10656438610497043,0.10245901639344257,0.3378789769707644
1970-01-01 00:00:00.000000259,0.17243632434218914,0.16047654921297316,0.15462443866627573,0.1468033087058146,0.4596017315046057
1970-01-01 00:00:00.000000253,0.14695212454606277,0.15845672065057692,0.15401249339497547,0.14975413338082733,0.30727335701274794
1970-01-01 00:00:00.000000251,0.14050964915424324,0.1341357505692875,0.1445473248466963,0.14114755098936993,0.21529523780143225
1970-01-01 00:00:00.000000262,0.18450560652395498,0.1772949934078183,0.16617022113697566,0.1538114704069543,0.6124615606818886
1970-01-01 00:00:00.000000261,0.18112135954224007,0.2102313072294979,0.1911794221045341,0.20573775494684943,0.6663726605126364
1970-01-01 00:00:00.000000258,0.16844035701771154,0.19877164835484162,0.1772672852439391,0.20819667128265873,0.4937424365865185
1970-01-01 00:00:00.000000257,0.16632011639111877,0.15800321529635175,0.16853657552687074,0.15790983106269219,0.2615766675968292
1970-01-01 00:00:00.000000265,0.19983694094036708,0.2013273806090543,0.19501444514554966,0.1829508797067111,0.5253745072826119
1970-01-01 00:00:00.000000266,0.2033028169995541,0.20285256754792402,0.20370444151496503,0.20356562880218998,0.4190415025443919
1970-01-01 00:00:00.000000264,0.1916819970056065,0.1853745592553806,0.191057033050274,0.18573773493532275,0.30510126385252767
1970-01-01 00:00:00.000000257,0.1624464682482798,0.16892697047919158,0.17359548911048683,0.16811470907242565,0.3146534256391128
1970-01-01 00:00:00.000000253,0.14576962283384276,0.14151449025086138,0.14952468722935597,0.1491394042968749,0.32021336713702975
1970-01-01 00:00:00.000000248,0.12379205141835503,0.12255249418824388,0.13153274921922542,0.129016375932537,0.2977394245425493
1970-01-01 00:00:00.000000247,0.11906216900404587,0.1178119479979689,0.12643299778230566,0.12741801777824036,0.21491803117774003
1970-01-01 00:00:00.000000250,0.13235476743676733,0.12811740115140036,0.12700416745312737,0.13344261294505622,0.3092617547539954
1970-01-01 00:00:00.000000244,0.10972478557435017,0.10404387768086276,0.11729428304915335,0.11049183079453762,0.24997160433409008
1970-01-01 00:00:00.000000245,0.11355761917845308,0.11154627776831827,0.12255719914081153,0.12073773243388197,0.1966732899849538
1970-01-01 00:00:00.000000245,0.1105402675243694,0.1060637691427535,0.11986451544143983,0.10684429231237191,0.21491662892263338
1970-01-01 00:00:00.000000241,0.09769625571403528,0.10375529480080936,0.10786989010135273,0.11377046929031132,0.28607125980001036
1970-01-01 00:00:00.000000246,0.11743120510400762,0.10569272502561411,0.10713555577579237,0.09651640594982702,0.24740968425421764
1970-01-01 00:00:00.000000250,0.1344750080633601,0.12308833498056604,0.13071680143988307,0.11963115754674691,0.330870505947665
1970-01-01 00:00:00.000000252,0.14091742123789497,0.141638150656743,0.1494430737755742,0.1370081667040216,0.23761633458928652
1970-01-01 00:00:00.000000249,0.12982669250923817,0.13162128038336474,0.1388764037389546,0.1364753598072489,0.20064447644702213
1970-01-01 00:00:00.000000249,0.12799184256737384,0.11863637167034424,0.1283505093028131,0.1272130872382492,0.14268927288865954
